biomass_provider,plant_location
Virmond,Guarapuava
Turvo,Guarapuava
Cruz Machado,Guarapuava
Goioxim,Guarapuava
Cantagalo,Guarapuava
Pinhão,Guarapuava
Guarapuava,Guarapuava
Candói,Guarapuava
Reserva Do Iguaçu,Guarapuava
Foz Do Jordão,Guarapuava
Inácio Martins,Irati
General Carneiro,Irati
Porto Vitória,Irati
Ipiranga,Irati
Guamiranga,Irati
Prudentópolis,Irati
Ivaí,Irati
Imbituva,Irati
Irati,Irati
Rebouças,Irati
Rio Azul,Irati
Teixeira Soares,Irati
Mallet,Irati
Fernandes Pinheiro,Irati
Paulo Frontin,Irati
São Mateus Do Sul,Irati
Paula Freitas,Irati
União Da Vitória,Irati
Nova Esperança Do Sudoeste,Itapejara D'oeste
Barracão,Itapejara D'oeste
Flor Da Serra Do Sul,Itapejara D'oeste
São João,Itapejara D'oeste
Saudade Do Iguaçu,Itapejara D'oeste
Alto Paraíso,Itapejara D'oeste
Realeza,Itapejara D'oeste
Nova Prata Do Iguaçu,Itapejara D'oeste
Santa Izabel Do Oeste,Itapejara D'oeste
Pranchita,Itapejara D'oeste
Pinhal De São Bento,Itapejara D'oeste
Manfrinópolis,Itapejara D'oeste
Bela Vista Da Caroba,Itapejara D'oeste
Boa Esperança Do Iguaçu,Itapejara D'oeste
Enéas Marques,Itapejara D'oeste
Cruzeiro Do Iguaçu,Itapejara D'oeste
Bom Jesus Do Sul,Itapejara D'oeste
Espigão Alto Do Iguaçu,Itapejara D'oeste
Sulina,Itapejara D'oeste
Porto Barreiro,Itapejara D'oeste
Salgado Filho,Itapejara D'oeste
Ampére,Itapejara D'oeste
Salto Do Lontra,Itapejara D'oeste
Santo Antônio Do Sudoeste,Itapejara D'oeste
São Jorge D'oeste,Itapejara D'oeste
Quedas Do Iguaçu,Itapejara D'oeste
Coronel Domingos Soares,Itapejara D'oeste
Laranjeiras Do Sul,Itapejara D'oeste
Rio Bonito Do Iguaçu,Itapejara D'oeste
Mariópolis,Itapejara D'oeste
Marmeleiro,Itapejara D'oeste
Francisco Beltrão,Itapejara D'oeste
Verê,Itapejara D'oeste
Dois Vizinhos,Itapejara D'oeste
Bom Sucesso Do Sul,Itapejara D'oeste
Itapejara D'oeste,Itapejara D'oeste
Honório Serpa,Itapejara D'oeste
Vitorino,Itapejara D'oeste
Palmas,Itapejara D'oeste
Renascença,Itapejara D'oeste
Chopinzinho,Itapejara D'oeste
