biomass_provider,plant_location
Oriente,Assis
Pompéia,Assis
Rancharia,Assis
Lucianópolis,Assis
Ubirajara,Assis
Presidente Venceslau,Assis
Lupércio,Assis
Tarabai,Assis
Taciba,Assis
Tarumã,Assis
Sales,Birigui
Sagres,Birigui
Ouro Verde,Birigui
Nova Guataporanga,Birigui
Inúbia Paulista,Birigui
Uru,Birigui
São João Do Pau D'alho,Birigui
Getulina,Birigui
Pracinha,Birigui
Paulicéia,Birigui
Guaimbê,Birigui
Nova Independência,Birigui
Bastos,Birigui
Mariápolis,Birigui
Guarantã,Birigui
Lucélia,Birigui
Tupi Paulista,Birigui
Santa Mercedes,Birigui
Panorama,Birigui
Avaí,Birigui
Osvaldo Cruz,Birigui
Arco-Íris,Birigui
Flora Rica,Birigui
Reginópolis,Birigui
Pirajuí,Birigui
Iacri,Birigui
Tupã,Birigui
Adamantina,Birigui
Flórida Paulista,Birigui
Junqueirópolis,Birigui
Pacaembu,Birigui
Cafelândia,Birigui
Monte Castelo,Birigui
Luiziânia,Birigui
Dracena,Birigui
Salmourão,Birigui
Parapuã,Birigui
Rinópolis,Birigui
Murutinga Do Sul,Birigui
Mirandópolis,Birigui
São Francisco,Birigui
Piacatu,Birigui
Pongaí,Birigui
Clementina,Birigui
Iacanga,Birigui
Gabriel Monteiro,Birigui
Valparaíso,Birigui
Santópolis Do Aguapeí,Birigui
Guaraçaí,Birigui
Arealva,Birigui
Avanhandava,Birigui
Alto Alegre,Birigui
Rubiácea,Birigui
Braúna,Birigui
Lavínia,Birigui
Penápolis,Birigui
Lins,Birigui
Bento De Abreu,Birigui
Bilac,Birigui
Glicério,Birigui
Sabino,Birigui
Andradina,Birigui
Castilho,Birigui
Guararapes,Birigui
Promissão,Birigui
Araçatuba,Birigui
Coroados,Birigui
Brejo Alegre,Birigui
Irapuru,Birigui
Dirce Reis,Birigui
Nova Luzitânia,Birigui
São João Das Duas Pontes,Birigui
Dolcinópolis,Birigui
Aspásia,Birigui
Marinópolis,Birigui
Santa Salete,Birigui
Barbosa,Birigui
Santa Clara D'oeste,Birigui
Nova Canaã Paulista,Birigui
Palmeira D'oeste,Birigui
Santa Albertina,Birigui
Nipoã,Birigui
Santa Fé Do Sul,Birigui
Rubinéia,Birigui
Aparecida D'oeste,Birigui
Paranapuã,Birigui
Vitória Brasil,Birigui
São João De Iracema,Birigui
Ubarana,Birigui
Populina,Birigui
Auriflama,Birigui
Jales,Birigui
Turiúba,Birigui
Gastão Vidigal,Birigui
Guarani D'oeste,Birigui
Guzolândia,Birigui
Santo Antônio Do Aracanguá,Birigui
Borborema,Birigui
Monções,Birigui
Neves Paulista,Birigui
Urânia,Birigui
Buritama,Birigui
Sud Mennucci,Birigui
Ilha Solteira,Birigui
Planalto,Birigui
Lourdes,Birigui
Itapura,Birigui
Macaubal,Birigui
Bálsamo,Birigui
Floreal,Birigui
União Paulista,Birigui
Santana Da Ponte Pensa,Birigui
Nova Castilho,Birigui
Mesópolis,Birigui
Pedranópolis,Birigui
Zacarias,Birigui
Valentim Gentil,Birigui
Magda,Birigui
Estrela D'oeste,Birigui
Três Fronteiras,Birigui
Turmalina,Birigui
Mendonça,Birigui
Sebastianópolis Do Sul,Birigui
Parisi,Birigui
Adolfo,Birigui
Poloni,Birigui
Macedônia,Birigui
Cosmorama,Birigui
Monte Aprazível,Birigui
Nhandeara,Birigui
Suzanápolis,Birigui
Pereira Barreto,Birigui
General Salgado,Birigui
José Bonifácio,Birigui
Bady Bassitt,Birigui
Indiaporã,Birigui
Nova Aliança,Birigui
Américo De Campos,Birigui
Fernandópolis,Birigui
Ouroeste,Birigui
Novo Horizonte,Birigui
Mira Estrela,Birigui
Mirassol,Birigui
Votuporanga,Birigui
Tanabi,Birigui
Cardoso,Birigui
Pontes Gestal,Birigui
Potirendaba,Birigui
Álvares Florence,Birigui
Irapuã,Birigui
Pontalinda,Birigui
Urupês,Birigui
Ibirá,Birigui
Riolândia,Birigui
Santa Rita D'oeste,Birigui
Birigui,Birigui
Presidente Alves,Birigui
Meridiano,Birigui
Ibitinga,Birigui
Jaci,Birigui
Guaiçara,Birigui
Pindorama,Guaíra
Elisiário,Guaíra
Marapoama,Guaíra
Ariranha,Guaíra
Mirassolândia,Guaíra
Fernando Prestes,Guaíra
Catanduva,Guaíra
Santa Adélia,Guaíra
São José Do Rio Preto,Guaíra
Ipiguá,Guaíra
Catiguá,Guaíra
Itajobi,Guaíra
Onda Verde,Guaíra
Uchoa,Guaíra
Itápolis,Guaíra
Nova Granada,Guaíra
Guapiaçu,Guaíra
Igarapava,Guaíra
Cristais Paulista,Guaíra
Guará,Guaíra
Miguelópolis,Guaíra
Ipuã,Guaíra
Sales Oliveira,Guaíra
Batatais,Guaíra
São Joaquim Da Barra,Guaíra
Nuporanga,Guaíra
Ituverava,Guaíra
Morro Agudo,Guaíra
Poá,Guaíra
Monte Alto,Guaíra
Guaíra,Guaíra
Barretos,Guaíra
Aramina,Guaíra
Pedregulho,Guaíra
Patrocínio Paulista,Guaíra
Buritizal,Guaíra
São José Da Bela Vista,Guaíra
Orlândia,Guaíra
Jaborandi,Guaíra
Franca,Guaíra
Colina,Guaíra
Jeriquara,Guaíra
Jaboticabal,Guaíra
Bebedouro,Guaíra
Viradouro,Guaíra
Colômbia,Guaíra
Guaraci,Guaíra
Pitangueiras,Guaíra
Pontal,Guaíra
Brodowski,Guaíra
Restinga,Guaíra
Taiúva,Guaíra
Itirapuã,Guaíra
Rifaina,Guaíra
Olímpia,Guaíra
Altair,Guaíra
Monte Azul Paulista,Guaíra
Pirangi,Guaíra
Severínia,Guaíra
Cajobi,Guaíra
Taquaritinga,Guaíra
Paulo De Faria,Guaíra
Orindiúva,Guaíra
Icém,Guaíra
Novais,Guaíra
Taiaçu,Guaíra
Taquaral,Guaíra
Santa Ernestina,Guaíra
Paraíso,Guaíra
Vista Alegre Do Alto,Guaíra
Palmares Paulista,Guaíra
Cândido Rodrigues,Guaíra
Tabapuã,Guaíra
Embaúba,Guaíra
Cedral,Guaíra
Jardinópolis,Guaíra
Guariba,Guaíra
Ribeirão Preto,Guaíra
Sertãozinho,Guaíra
Matão,Guaíra
Tabatinga,Guaíra
Dobrada,Guaíra
Palestina,Guaíra
Terra Roxa,Guaíra
Motuca,Guaíra
Pradópolis,Guaíra
Ribeirão Corrente,Guaíra
Dumont,Guaíra
Barrinha,Guaíra
Piratininga,Itaí
Boa Esperança Do Sul,Itaí
Chavantes,Itaí
Bauru,Itaí
Bocaina,Itaí
Dois Córregos,Itaí
Itapuí,Itaí
Agudos,Itaí
Itaju,Itaí
Santa Maria Da Serra,Itaí
Boracéia,Itaí
Ipaussu,Itaí
Timburi,Itaí
Iaras,Itaí
Jaú,Itaí
Bariri,Itaí
Bernardino De Campos,Itaí
Óleo,Itaí
Paranapanema,Itaí
Águas De Santa Bárbara,Itaí
Manduri,Itaí
Rio Grande Da Serra,Itaí
Cerqueira César,Itaí
Sarutaiá,Itaí
Barão De Antonina,Itaí
Tejupá,Itaí
Fartura,Itaí
Taguaí,Itaí
Avaré,Itaí
Coronel Macedo,Itaí
Taquarituba,Itaí
Itaporanga,Itaí
Itaí,Itaí
Riversul,Itaí
Arandu,Itaí
Piraju,Itaí
Pederneiras,Itaí
Itatinga,Itaí
Botucatu,Itaí
Pratânia,Itaí
Macatuba,Itaí
Lençóis Paulista,Itaí
Mineiros Do Tietê,Itaí
Borebi,Itaí
São Manuel,Itaí
Barra Bonita,Itaí
Areiópolis,Itaí
Igaraçu Do Tietê,Itaí
Santa Isabel,Itapetininga
Salesópolis,Itapetininga
Biritiba Mirim,Itapetininga
São Paulo,Itapetininga
Itanhaém,Itapetininga
Rafard,Itapetininga
Mogi Das Cruzes,Itapetininga
Cabreúva,Itapetininga
Indaiatuba,Itapetininga
Mombuca,Itapetininga
Rio Das Pedras,Itapetininga
Capivari,Itapetininga
Monte Mor,Itapetininga
Cajati,Itapetininga
