UF;Nome;CD;Lat;Long;Carga;Energia
MT;Sorriso;5107925;-55,677341;-12,741843;3703298;8059650,438
MT;Sapezal;5107875;-58,652348;-13,154369;2550475;5004658,046
MT;Nova Mutum;5106224;-56,104692;-13,629828;2239940;4823599,485
MT;Nova Ubiratã;5106240;-54,766078;-12,991081;2134646;4474981,244
MT;Campo Novo do Parecis;5102637;-57,929544;-13,687916;1997666;4105753,76
GO;Jataí;5211909;-51,731977;-17,90976;1837392;4063274,746
MT;Diamantino;5103502;-56,797963;-14,095558;1719752;3566020,021
GO;Rio Verde;5218805;-51,038529;-17,739397;1692677;3640191,888
MT;Lucas do Rio Verde;5105259;-56,165292;-13,037625;1651173;3564746,189
MS;Maracaju;5005400;-55,396552;-21,551966;1558750;3422498,474
BA;São Desidério;2928901;-45,490189;-12,804393;1459887;2747226,313
MT;Campo Verde;5102678;-54,961149;-15,348277;1433833;2799153,332
MT;Primavera do Leste;5107040;-54,220516;-15,097396;1337355;2728019,662
MT;Campos de Júlio;5102686;-59,191383;-13,579357;1321623;2789373,299
MS;Sidrolândia;5007901;-54,942494;-21,093633;1204050;2660588,99
GO;Cristalina;5206206;-47,517958;-16,698648;1188080;2498438,64
MT;Querência;5107065;-52,743195;-12,158216;1100801;2277508,791
MS;Ponta Porã;5006606;-55,581671;-22,202812;1065030;2306925,36
BA;Formosa do Rio Preto;2911105;-45,755647;-11,016713;1063628;2048585,619
MT;Itiquira;5104609;-54,602841;-17,333508;1005869;2174853,584
BA;Correntina;2909307;-45,394992;-13,467029;942908;1862631,504
MT;São Félix do Araguaia;5107859;-51,96852;-11,453629;912044;1942120,281
MT;Brasnorte;5101902;-57,998828;-12,421917;906780;1888218,326
PR;Cascavel;4104808;-53,379693;-25,029348;903485;2026253,863
MS;Dourados;5003702;-54,837997;-22,145179;895130;1924633,384
MS;São Gabriel do Oeste;5007695;-54,48383;-19,169232;868890;1921549,824
MT;Ipiranga do Norte;5104526;-56,055977;-12,013384;856030;1825974,459
MG;Unaí;3170404;-46,819723;-16,375835;781403;1592866,573
MT;Sinop;5107909;-55,50015;-11,711715;767464;1661230,221
MT;Tapurah;5108006;-56,531225;-12,569099;747322;1525296,17
MT;Canarana;5102702;-52,397089;-13,330899;730371;1505086,834
MT;Santa Rita do Trivelato;5107768;-55,294563;-13,832764;714612;1466232,374
PR;Assis Chateaubriand;4102000;-53,585561;-24,424609;711937;1500961,704
PR;Tibagi;4127502;-50,468672;-24,655779;705011;1578536,04
GO;Montividiu;5213756;-51,190657;-17,317946;700664;1497679,389
RS;Cachoeira do Sul;4303004;-52,986384;-30,206239;692639;1436679,765
MT;Tabaporã;5107941;-56,49656;-11,213225;691686;1494482,803
MS;Rio Brilhante;5007208;-54,557328;-21,696203;689054;1502365,658
RS;Uruguaiana;4322400;-56,72953;-29,840636;679821;1504824,178
MT;Porto dos Gaúchos;5106802;-56,747665;-11,734173;673610;1436142,848
PR;Toledo;4127700;-53,777548;-24,704869;667457;1500546,618
SP;Itapeva;3522406;-48,871718;-23,914069;667200;1403674,24
MT;Nova Maringá;5108907;-57,219823;-12,783072;655041;1377471,386
MG;Uberaba;3170107;-47,977162;-19,580931;648260;1389297,152
GO;Chapadão do Céu;5205471;-52,633543;-18,464912;640400;1378427,052
MT;Vera;5108501;-55,345821;-12,421776;606590;1293015,296
GO;Mineiros;5213103;-52,76713;-17,631413;599263;1305964,39
BA;Barreiras;2903201;-45,520009;-12,009956;591397;1139316,921
MS;Aral Moreira;5001243;-55,450108;-22,907494;589259;1280591,088
RS;Santa Vitória do Palmar;4317301;-53,007213;-33,163501;588364;1296022,736
MS;Costa Rica;5003256;-53,203013;-18,519344;584836;1205233,001
DF;Brasília;5300108;-47,797361;-15,780692;572591;1222407,295
RS;Itaqui;4310603;-56,17566;-29,213734;559695;1243343,456
MT;Feliz Natal;5103700;-54,166797;-11,917537;543546;1169138,083
PR;Guarapuava;4109401;-51,49002;-25,371765;530577;1195085,101
PA;Paragominas;1505502;-47,603167;-3,203462;526863;973646,4251
MT;Santo Antônio do Leste;5107792;-53,671005;-14,81919;526334;1055257,843
MT;Santa Carmem;5107248;-54,902983;-11,935387;524820;1148214,144
PR;Ubiratã;4128005;-53,021667;-24,504933;521301;1191967,308
MS;Chapadão do Sul;5002951;-52,698222;-18,994229;517834;1101511,013
MT;Tangará da Serra;5107958;-58,317695;-14,423506;516569;1076730,62
RS;Tupanciretã;4322202;-54,003332;-29,020616;515415;1085978,293
GO;Caiapônia;5204409;-51,81463;-17,007129;505555;1081215,704
RS;São Borja;4318002;-55,796576;-28,746688;503360;1112790,272
MG;Paracatu;3147006;-46,8842;-17,173152;502938;978840,5952
MS;Itaporã;5004502;-54,873718;-22,00248;494332;1084529,301
PR;São Miguel do Iguaçu;4125704;-54,262029;-25,387489;491328;1089672,667
PR;Palotina;4117909;-53,82404;-24,274636;484130;1083834,252
MT;Cláudia;5103056;-55,048739;-11,447527;480916;1031742,827
BA;Luís Eduardo Magalhães;2919553;-45,989709;-12,193658;480899;983036,4128
MT;Alto Garças;5100409;-53,582934;-16,879031;475808;1001199,584
RS;Palmeira das Missões;4313706;-53,382111;-27,940155;475236;1046525,491
PR;Castro;4104907;-49,841672;-24,799609;469967;1033238,381
GO;Catalão;5205109;-47,665143;-17,931473;469364;984385,0848
MT;Paranatinga;5106307;-54,10909;-13,677354;462393;929635,248
RS;Muitos Capões;4312617;-51,23025;-28,385982;461745;1053182,376
SP;Itaberá;3521705;-49,142203;-23,869789;459440;1050114,086
RS;Dom Pedrito;4306601;-54,664859;-31,057239;459324;994297,4054
GO;Luziânia;5212501;-47,992176;-16,481752;458953;987063,8912
MS;Caarapó;5002407;-54,804587;-22,58763;456563;984007,0272
MS;Naviraí;5005707;-54,025583;-23,022196;442321;905936,4324
GO;Ipameri;5210109;-48,054734;-17,505714;440281;930025,1517
PR;Terra Roxa;4127403;-54,062779;-24,208714;438240;941321,8704
RS;Alegrete;4300406;-55,835549;-29,764108;437141;957979,1224
RS;Cruz Alta;4306106;-53,562408;-28,703225;424554;903592,1808
MT;Gaúcha do Norte;5103858;-53,455077;-12,996483;422120;864470,072
MT;Bom Jesus do Araguaia;5101852;-51,739933;-12,216583;420966;877064,5342
MT;São José do Xingu;5107354;-52,617566;-10,696061;419070;908202,6696
GO;Paraúna;5216403;-50,63785;-17,047066;416391;858979,1245
MT;São José do Rio Claro;5107305;-56,807344;-13,551121;415073;831989,574
RS;São Luiz Gonzaga;4318903;-54,890919;-28,418454;414252;915050,42
MS;Laguna Carapã;5005251;-55,132086;-22,676821;410180;894129,824
GO;Silvânia;5220603;-48,55805;-16,606992;407250;873481,152
BA;Riachão das Neves;2926202;-45,217792;-11,623038;405969;762719,3056
RO;Vilhena;1100304;-60,248416;-12,095624;404742;893836,6989
RS;São Gabriel;4318309;-54,363658;-30,305783;404427;859356,9648
MG;Buritis;3109303;-46,604368;-15,453172;400845;819850,392
MA;Balsas;2101400;-46,34273;-8,237621;399686;819240,1583
MT;Alto Taquari;5100607;-53,299819;-17,826501;391386;859841,6468
MT;Rondonópolis;5107602;-54,668466;-16,520311;386895;806334,768
PR;Corbélia;4106308;-53,236967;-24,742511;378998;846428,8672
MT;Água Boa;5100201;-52,500635;-13,978275;360912;734195,9424
TO;Lagoa da Confusão;1711902;-50,160444;-11,036066;359708;776235,0629
MT;Comodoro;5103304;-59,750779;-13,196516;357360;768787,1808
TO;Campos Lindos;1703842;-46,80441;-8,203493;349788;749682,4901
PR;Mamborê;4114005;-52,589074;-24,361074;348121;776561,1169
RS;Arroio Grande;4301305;-52,919377;-32,189513;347848;765062,7674
PR;Guaíra;4108809;-54,230664;-24,190589;344220;762456,144
SC;Campos Novos;4203600;-51,244833;-27,413115;343200;734486,304
RS;São Miguel das Missões;4319158;-54,521522;-28,673111;336650;750399,664
GO;Campo Alegre de Goiás;5204805;-47,768395;-17,551461;335531;708290,5328
PR;Ponta Grossa;4119905;-50,080793;-25,139699;332017;710744,6608
GO;Perolândia;5216452;-52,224766;-17,494264;330480;716025,52
MT;Novo São Joaquim;5106281;-53,241023;-15,078922;326948;651858,4781
RS;Santa Bárbara do Sul;4316709;-53,284519;-28,373849;326130;694830,36
RS;Júlio de Castilhos;4311205;-53,652299;-29,258398;320331;667138,688
PA;Dom Eliseu;1502939;-47,898112;-4,186576;319890;670699,248
RS;Giruá;4309001;-54,299079;-28,030029;316690;710431,6424
MT;Guiratinga;5104203;-53,589465;-16,383723;316350;653425,344
PR;Candói;4104428;-52,020823;-25,524292;315488;703945,1328
RS;Camaquã;4303509;-51,788647;-30,922642;313923;683037,3043
PR;Marechal Cândido Rondon;4114609;-54,137358;-24,571747;312853;585726,5928
PR;Londrina;4113700;-51,110377;-23,514252;312734;702052,1148
MT;Poxoréo;5107008;-54,184603;-15,852275;312062;623052,1688
MG;Uberlândia;3170206;-48,331737;-19,027771;311032;672036,3824
MA;Tasso Fragoso;2112001;-45,885641;-8,331963;307176;613786,5242
PR;Nova Aurora;4116703;-53,276981;-24,502719;305780;686653,8678
PA;Santarém;1506807;-55,238455;-2,679336;305305;339195,1552
BA;Jaborandi;2917359;-45,442113;-14,033045;299051;584653,1125
PI;Baixa Grande do Ribeiro;2201150;-45,16098;-8,505753;298562;648648,8698
MS;Amambai;5000609;-54,967736;-23,157797;297342;629390,052
MT;Pedra Preta;5106372;-54,256488;-16,799885;294334;586587,328
MT;Itanhangá;5104542;-56,755003;-12,13961;293370;609027,216
MG;Sacramento;3156908;-47,266379;-19,904488;293058;659422,3584
MS;Sonora;5007935;-54,436446;-17,646287;287520;615792,6336
PA;Portel;1505809;-50,955624;-2,565429;282080;234814,3104
RS;Vacaria;4322509;-50,92374;-28,370406;279756;593681,8368
PR;Campo Mourão;4104303;-52,379755;-24,103237;278900;614983,8376
PA;Acará;1500206;-48,411527;-2,035451;277051;230564,4083
MG;Coromandel;3119302;-47,136817;-18,413108;273659;560224,9363
RS;Rio Pardo;4315701;-52,436943;-30,022804;270217;509696,2624
MT;Dom Aquino;5103601;-54,772382;-15,657983;267589;506748,3072
PR;Campina da Lagoa;4103909;-52,788321;-24,616609;267012;589635,9744
PR;Palmeira;4117701;-50,057775;-25,442626;266697;568448,1468
MT;General Carneiro;5103908;-53,393117;-15,558683;266692;541225,2481
RS;São Sepé;4319604;-53,620014;-30,175984;264472;557508,2368
PR;Maripá;4115358;-53,791691;-24,444854;264016;574375,5288
RS;Jóia;4311155;-54,154519;-28,766731;260070;559668,4608
PR;Goioerê;4108601;-53,052185;-24,172671;254254;552266,7868
RS;Mostardas;4312500;-50,729199;-30,854758;253887;555458,6384
MS;Itaquiraí;5004601;-54,119235;-23,341128;252483;462943,0112
MG;Guarda-Mor;3128600;-47,126278;-17,731923;251430;510042,048
PR;Juranda;4112959;-52,835966;-24,398748;251151;559482,9955
PI;Uruçuí;2211209;-44,569572;-7,791893;249627;544492,4711
GO;Goiatuba;5209101;-49,659914;-17,99375;247389;499050,4576
GO;Piracanjuba;5217104;-48,993402;-17,331887;245560;499759,7808
MG;Perdizes;3149804;-47,195992;-19,400151;245014;552630,8592
PR;Pinhão;4119301;-51,632365;-25,785508;243798;536187,8368
PR;Araruna;4101705;-52,576575;-23,955065;240707;341917,9773
PR;Arapoti;4101606;-49,975979;-24,09282;239339;550716,7456
MS;Campo Grande;5002704;-54,249689;-20,913169;236038;508145,4976
GO;Bom Jesus de Goiás;5203500;-49,878452;-18,189127;234761;482242,2848
GO;Serranópolis;5220504;-52,21193;-18,224637;234350;509868,864
PR;Teixeira Soares;4127007;-50,408498;-25,313439;233767;510775,2024
PR;Mangueirinha;4114401;-52,209282;-26,033421;233275;497973,2072
MT;Confresa;5103353;-51,698057;-10,403274;233235;500034,0358
RS;Jaguarão;4311007;-53,335583;-32,410229;229326;500485,9584
MG;Ibiá;3129509;-46,595757;-19,557869;229320;519811,584
PR;Quarto Centenário;4120655;-53,155332;-24,303144;229102;509274,6345
PR;Prudentópolis;4120606;-51,097703;-25,129079;226013;462436,7026
PA;Ulianópolis;1508126;-47,493609;-3,80984;225388;469892,9734
PR;Pitanga;4119608;-51,780414;-24,691093;224988;479682,992
MS;Bonito;5002209;-56,460249;-21,007817;224320;483190,1792
PR;Santa Helena;4123501;-54,306005;-24,888562;224145;480948,32
RS;Espumoso;4307500;-52,827062;-28,864146;223770;486342,4224
SC;Abelardo Luz;4200101;-52,255937;-26,562314;223355;469139,744
RO;Porto Velho;1100205;-64,306814;-9,153593;223179;307415,7747
RS;Maçambará;4311718;-55,774962;-29,06619;222348;500618,1728
PR;Piraí do Sul;4119400;-49,937684;-24,470139;220578;487184,3232
PR;Lapa;4113205;-49,871091;-25,77052;220193;454325,41
PR;Céu Azul;4105300;-53,761786;-25,246278;219933;504532,3384
PR;Sertaneja;4126405;-50,875002;-22,934195;217864;483565,0435
RS;Lagoa Vermelha;4311304;-51,501665;-28,227411;217627;465470,5984
PR;Irati;4110706;-50,82561;-25,488552;216479;454064,3168
PR;Santa Tereza do Oeste;4124020;-53,606015;-25,036609;215765;487038,2145
PR;Tupãssi;4127957;-53,508971;-24,642437;214041;479254,0296
MS;Bandeirantes;5001508;-54,28511;-19,80517;211698;446458,0416
PR;Sertanópolis;4126504;-51,071973;-23,057338;210157;474052,8544
MT;Matupá;5105606;-54,354973;-10,015386;209820;439261,4016
GO;Cabeceiras;5204003;-46,992502;-15,759897;207943;433445,1472
PR;Roncador;4122503;-52,26131;-24,565857;205503;464064,9872
SP;Cândido Mota;3510005;-50,421675;-22,808685;205306;448923,201
MT;Jaciara;5104807;-55,111868;-15,906552;205262;416997,5419
GO;Santa Helena de Goiás;5219308;-50,578746;-17,801554;205005;429708,84
PR;Cafelândia;4103453;-53,36392;-24,692427;203216;458539,9444
MG;Monte Alegre de Minas;3142809;-48,886767;-18,844535;203174;392526,8045
SP;Capão Bonito;3510203;-48,289841;-24,039202;202875;445644,88
MT;Nobres;5105903;-55,811108;-14,379754;202204;434949,2885
MG;Araguari;3103504;-48,222171;-18,577119;201372;436461,8984
RS;Ibirubá;4310009;-53,172279;-28,594931;201333;435114,9888
PR;Cambé;4103701;-51,284315;-23,179759;199389;448925,7643
GO;Água Fria de Goiás;5200175;-47,795432;-14,906515;199130;391521,696
RS;Santo Ângelo;4317509;-54,297517;-28,250712;198876;431048,3688
RS;Rosário do Sul;4316402;-55,110274;-30,325619;198330;429154,2
MT;Marcelândia;5105580;-54,052991;-10,885665;197100;419793,6
MT;União do Sul;5108303;-54,315897;-11,526916;197021;417909,0108
RS;Santa Maria;4316907;-53,825031;-29,784974;196739;404070,4029
PR;Pato Branco;4118501;-52,663209;-26,169022;196157;419325,8164
SP;Itapetininga;3522307;-48,123325;-23,645476;195745;439625,3856
PA;Santana do Araguaia;1506708;-50,611282;-9,364056;194150;365367,968
SP;Casa Branca;3510807;-47,088127;-21,800548;193405;433760,494
MT;Ribeirão Cascalheira;5107180;-51,568535;-12,873841;193350;394319,2848
TO;Caseara;1703909;-49,848113;-9,400407;192476;403938,7788
RS;Coronel Bicaco;4305900;-53,645954;-27,798404;191740;420466,144
PR;Ortigueira;4117305;-50,946956;-24,135071;191177;415390,9408
PR;São Jorge do Ivaí;4125308;-52,316915;-23,435031;191110;420160,1244
SP;Buri;3508009;-48,575367;-23,752072;190571;428810,9363
MT;Vila Rica;5108600;-51,404661;-9,980545;190362;407271,2376
GO;Acreúna;5200134;-50,326032;-17,452209;190340;393713,216
PR;Luiziana;4113734;-52,331143;-24,349002;189551;434189,1997
RS;Santo Augusto;4317806;-53,755983;-27,90321;189411;413437,1259
PR;Engenheiro Beltrão;4107504;-52,269748;-23,759828;188767;421219,4948
TO;Formoso do Araguaia;1708205;-50,098113;-11,958999;187920;396379,672
RS;Ijuí;4310207;-53,895059;-28,320723;187895;384323,7696
MS;Batayporã;5002001;-53,177521;-22,390526;187860;329542,5984
GO;São João d'Aliança;5220009;-47,422851;-14,485615;187106;378323,0688
SP;Paranapanema;3535804;-48,795209;-23,438482;186860;400511,368
RS;Barra do Quaraí;4301875;-57,335462;-30,151561;186090;411973,9172
MT;Canabrava do Norte;5102694;-51,822813;-11,200302;185790;399452,316
GO;Vianópolis;5222005;-48,441809;-16,812979;184459;391314,7936
RS;Chapada;4305306;-53,115106;-28,096942;184090;393879,3088
RO;Corumbiara;1100072;-61,091646;-12,926629;183682;386298,3744
PR;Catanduvas;4105003;-53,156018;-25,241715;183587;410135,3068
RS;Capão do Cipó;4304655;-54,582126;-28,959583;181587;384066,6912
PR;Boa Esperança;4103008;-52,751016;-24,257567;181386;402372,8814
RS;Viamão;4323002;-50,869536;-30,167135;180656;397127,4911
PA;Oriximiná;1505304;-57,149919;0,255091;180173;150094,0877
MS;Ivinhema;5004700;-53,799065;-22,371286;180000;231650,4
GO;Padre Bernardo;5215603;-48,305441;-15,361169;179862;375201,5328
RS;Boa Vista do Cadeado;4302220;-53,837502;-28,656479;179756;381726,4532
PR;Imbituva;4110102;-50,655407;-25,225972;179733;386892,0618
RS;Restinga Seca;4315503;-53,344129;-29,817719;178120;378907,9428
MT;Itaúba;5104559;-55,590551;-11,110775;176985;372139,83
PR;Peabiru;4118808;-52,326673;-23,931181;175274;383959,3052
PR;Primeiro de Maio;4120507;-51,074104;-22,862204;174233;393036,9114
PR;Querência do Norte;4121000;-53,521469;-23,042437;174112;249108,2304
PR;Cornélio Procópio;4106407;-50,623529;-23,225788;173732;397420,4013
MS;Paraíso das Águas;5006275;-53,130649;-19,227294;173280;354487,7184
MG;Presidente Olegário;3153400;-46,33619;-18,239189;172039;370877,7848
PR;Brasilândia do Sul;4103370;-53,541696;-24,166087;171475;378504,7
PR;Tuneiras do Oeste;4127908;-52,843494;-23,879224;169864;185841,9252
RS;Rio Grande;4315602;-52,404581;-32,220069;169761;374801,8524
RS;Santo Antônio das Missões;4317707;-55,426036;-28,493955;169200;374397,6589
RS;Entre-Ijuís;4306932;-54,301861;-28,460168;168739;379364,7296
PR;Santa Mariana;4123907;-50,538821;-23,060632;168307;374732,1867
RS;Candelária;4304200;-52,813148;-29,70051;167637;353567,0952
PR;Braganey;4103354;-53,090495;-24,801347;166052;370315,228
RS;Coxilha;4305975;-52,332101;-28,122016;165519;353996,7296
PR;Quinta do Sol;4121109;-52,140408;-23,829707;165408;365616,7893
PR;Vera Cruz do Oeste;4128559;-53,92046;-25,007372;165343;369356,1688
PR;Alto Piquiri;4100707;-53,401982;-24,098297;165063;356380,6304
SP;Maracaí;3528809;-50,745431;-22,652273;164467;352746,4378
SP;Itararé;3523206;-49,303548;-24,080515;163855;369397,1136
MT;Porto Alegre do Norte;5106778;-51,714045;-10,824656;163332;349879,3296
MG;Patrocínio;3148103;-47,051255;-18,970516;162730;370852,624
PR;Chopinzinho;4105409;-52,450991;-25,811994;162517;351328,936
PR;Alvorada do Sul;4100806;-51,255065;-22,810645;161617;364687,006
RS;Carazinho;4304705;-52,864055;-28,278222;161090;338382,1176
PR;Carambeí;4104659;-50,151619;-24,893571;160838;356704,19
PR;Rolândia;4122404;-51,409205;-23,27128;160696;367829,6586
PA;São Domingos do Capim;1507201;-47,771752;-1,883874;160512;134130,688
RS;Pejuçara;4314308;-53,593503;-28,454371;160170;353143,1496
RS;Sant'Ana do Livramento;4317103;-55,561672;-30,73881;160122;340339,1488
PR;Renascença;4121604;-52,950885;-26,225142;159652;345031,3696
MT;Nova Canaã do Norte;5106216;-56,041598;-10,700199;159645;345596,928
RS;Venâncio Aires;4322608;-52,195238;-29,578563;159309;305391,0392
MG;Nova Ponte;3145000;-47,706874;-19,261203;159019;342677,5536
PR;Clevelândia;4105706;-52,357857;-26,344654;157886;330624,0384
PR;Janiópolis;4112207;-52,811233;-24,128067;157320;320710,1538
RS;Pontão;4314779;-52,641497;-28,036702;156140;326218,448
SP;Santa Cruz do Rio Pardo;3546405;-49,568954;-22,809313;155833;303692,008
RO;Chupinguaia;1100924;-60,898384;-12,537328;155726;339664,9901
RS;Fortaleza dos Valos;4308458;-53,275554;-28,895212;155281;332488,347
SP;Campos Novos Paulista;3509809;-50,010282;-22,610867;155259;217262,1488
SP;Itaí;3521804;-49,053631;-23,46932;155000;331797,248
PR;São Mateus do Sul;4125605;-50,441984;-25,908209;154833;314271,9936
PR;Jesuítas;4112751;-53,410597;-24,413959;154561;279687,6564
RS;Catuípe;4305009;-54,034411;-28,168734;154253;327818,2459
PI;Ribeiro Gonçalves;2208908;-45,344859;-7,973573;154238;328040,232
RS;São Francisco de Assis;4318101;-55,131178;-29,447919;154073;293999,9224
RS;Santiago;4317400;-54,796359;-29,127235;153815;326807,5046
RS;Sertão;4320503;-52,314081;-28,009991;153806;331620,9632
PR;Marialva;4114807;-51,867852;-23,530652;153314;342762,7766
MS;Antônio João;5000906;-55,969255;-22,205733;152888;329541,7152
PR;Coronel Vivida;4106506;-52,564414;-25,992517;152871;320887,1184
RS;Santo Antônio da Patrulha;4317608;-50,559378;-29,872722;152607;295080,6048
PR;Nova Santa Rosa;4117222;-53,958539;-24,440355;152467;330863,6988
RS;Jari;4311130;-54,298466;-29,292108;152437;320589,7904
RS;Marau;4311809;-52,268854;-28,455368;152350;318776,4592
RS;Passo Fundo;4314100;-52,452466;-28,268973;151934;314703,3728
GO;Orizona;5215306;-48,195479;-17,00786;150373;318493,6992
MT;Juara;5105101;-57,618484;-11,023921;150360;315938,688
MS;Nova Alvorada do Sul;5006002;-54,215607;-21,491581;150190;325162,6192
RS;Condor;4305702;-53,49398;-28,165785;149853;326798,3136
PR;Campo Bonito;4104055;-53,013902;-24,931241;149847;336367,355
PR;Cambará;4103602;-50,082823;-22,997001;148848;340219,5776
PR;Rancho Alegre D'Oeste;4121356;-52,960824;-24,290489;148203;328279,5032
SP;Palmital;3535309;-50,220934;-22,828805;147671;294178,8482
PR;Reserva;4121703;-50,956531;-24,595498;147370;320816,868
MT;Juscimeira;5105200;-54,908857;-16,185442;146878;293438,1456
PR;Assaí;4101903;-50,875554;-23,40543;146113;334804,6027
PA;Óbidos;1505106;-55,675044;-0,16992;145351;122976,4192
PR;Francisco Alves;4108320;-53,872327;-24,094818;144320;307459,376
RS;Panambi;4313904;-53,507424;-28,329985;144233;304440,9177
RS;Bossoroca;4302501;-54,971313;-28,661801;143976;302724,312
PA;Viseu;1508308;-46,455055;-1,531005;142725;122492,928
RO;Machadinho D'Oeste;1100130;-62,01038;-9,204092;142492;148056,1336
SP;Guaíra;3517406;-48,364137;-20,314037;142176;303292,7664
MG;Patos de Minas;3148004;-46,507718;-18,597008;142140;271197,216
RS;Três de Maio;4321808;-54,265215;-27,73191;140058;303091,8928
PR;Farol;4107553;-52,628848;-24,123308;139964;306688,3528
MT;Santo Antônio do Leverger;5107800;-55,439936;-16,460374;139127;291156,152
PA;Rondon do Pará;1506187;-48,460037;-4,516927;137741;267202,6752
MT;Tesouro;5108105;-53,456001;-15,908008;137736;294707,424
MT;Santa Terezinha;5107776;-50,792724;-10,333522;137337;279532,8468
PR;Formosa do Oeste;4108205;-53,331673;-24,292645;137273;305221,1883
SC;Canoinhas;4203808;-50,533428;-26,248303;136630;298835,888
PR;Foz do Iguaçu;4108304;-54,483209;-25,466053;136553;293649,162
PR;Maringá;4115200;-51,967804;-23,400948;136357;300040,1178
RS;Santa Margarida do Sul;4316972;-54,097718;-30,37106;136007;286168,5648
RS;Bagé;4301602;-54,016759;-31,236725;135803;291285,7544
PR;Mariluz;4115101;-53,210663;-24,053658;135770;282404,496
PR;Rebouças;4121505;-50,620925;-25,658531;135736;288610,6096
MT;Nova Xavantina;5106257;-52,408176;-14,599106;135086;271511,0584
MT;Novo Mundo;5106265;-55,403478;-9,751137;135059;286715,2332
RO;Cerejeiras;1100056;-61,26095;-13,203562;133974;284027,2032
SP;Taquarivaí;3553856;-48,687935;-23,943303;133407;300108,0676
GO;Niquelândia;5214606;-48,401663;-14,498584;133329;291357,1152
PR;São João;4124806;-52,793054;-25,774045;132946;299440,0748
MS;Bela Vista;5002100;-56,536826;-21,936769;132693;281926,2095
RS;São Lourenço do Sul;4318804;-52,122555;-31,234485;132579;296623,5456
SP;Taquarituba;3553807;-49,234572;-23,530185;132400;294436,496
MG;Conceição das Alagoas;3117306;-48,361478;-19,959758;132217;283620,912
SC;Mafra;4210100;-49,889368;-26,200904;131940;290714,172
MT;Alto Araguaia;5100300;-53,468375;-17,443552;131828;281202,205
PA;Moju;1504703;-49,074042;-2,683911;131809;115477,9328
RS;Eugênio de Castro;4307831;-54,244342;-28,565961;131808;294633,1392
PR;Ventania;4128534;-50,245344;-24,176287;131572;289317,5888
RS;Independência;4310405;-54,180406;-27,901624;131359;295453,7128
MT;Chapada dos Guimarães;5103007;-55,546345;-15,123257;131046;264396,8468
PR;Capanema;4104501;-53,76312;-25,610768;130709;275449,325
PR;Nova Cantu;4116802;-52,558511;-24,659237;129275;283525,194
GO;Caldas Novas;5204508;-48,646242;-17,709236;128384;266017,712
RO;Pimenteiras do Oeste;1101468;-61,545307;-13,173876;128047;276956,0442
RS;Cacequi;4302907;-54,802373;-29,920539;127521;270299,0712
MG;Tupaciguara;3169604;-48,75528;-18,534867;127320;264530,6592
PR;Dois Vizinhos;4107207;-53,075369;-25,750162;126944;279659,0272
RS;Boa Vista do Incra;4302238;-53,46152;-28,865715;126851;271413,968
RS;Esmeralda;4307401;-51,170076;-28,037616;126370;267945,016
PR;Palmas;4117602;-51,814359;-26,451093;126026;262403,8512
RS;Tapes;4321105;-51,441399;-30,663988;124975;271212,9634
PR;Cianorte;4105508;-52,62699;-23,727459;124939;163733,3624
RS;Chiapetta;4305405;-53,90962;-27,986986;124731;273626,8592
GO;Gameleira de Goiás;5208152;-48,674121;-16,403155;124658;265096,0064
RS;Palmares do Sul;4313656;-50,448958;-30,362436;124457;272372,2662
SE;Lagarto;2803500;-37,664437;-10,902705;124178;106665,7664
PA;Alenquer;1500404;-55,039155;-0,604683;124101;116123,0592
MG;Capinópolis;3112604;-49,581589;-18,687229;124026;253537,2542
MS;Nova Andradina;5006200;-53,422234;-21,926511;123878;212456,0416
MG;Monte Carmelo;3143104;-47,46095;-18,70919;123760;277838,3392
PR;Itambé;4111100;-52,00826;-23,706528;123700;275960,144
MG;Bonfinópolis de Minas;3108206;-46,190389;-16,486352;123324;250170,5856
RS;Pelotas;4314407;-52,341156;-31,581168;123210;274302,912
PR;Anahy;4101051;-53,143939;-24,643854;122557;187103,9744
AC;Rodrigues Alves;1200427;-73,223281;-7,843741;122536;105413,36
RS;Manoel Viana;4311759;-55,556906;-29,42838;121119;256992,384
PA;Castanhal;1502400;-47,876996;-1,268942;120850;101538,144
PR;São José da Boa Vista;4125407;-49,671216;-23,958673;120832;262386,4512
RS;Arambaré;4300851;-51,57851;-30,919229;120756;263129,2288
PR;Leópolis;4113403;-50,7113;-23,026637;119594;268589,5012
PR;Realeza;4121406;-53,543528;-25,674401;119562;270130,6656
PA;São Félix do Xingu;1507300;-52,252698;-7,233365;119550;180695,7504
PR;Ipiranga;4110508;-50,585613;-24,988459;119502;256274,8928
RS;Não-Me-Toque;4312658;-52,824913;-28,459417;118857;264019,3896
RS;Santa Rosa;4317202;-54,497056;-27,864493;118793;262248,6928
TO;Goiatins;1709005;-47,481186;-8,093772;118604;238639,3088
PR;Manoel Ribas;4114500;-51,640405;-24,489322;118462;256287,04
PR;Bela Vista do Paraíso;4102802;-51,235773;-23,005054;117230;265233,7008
MT;Nova Marilândia;5108857;-57,26293;-14,289102;116100;250684,44
SP;São Miguel Arcanjo;3550209;-47,993348;-23,913948;116071;268092,8026
PR;Bom Sucesso do Sul;4103222;-52,838827;-26,086066;115970;252406,416
PR;Araucária;4101804;-49,441488;-25,608606;115843;249148,3196
