UF;Nome;CD;Lat;Long;Carga;Energia
PI;Água Branca;2200202;-42,628069;-5,913995;509;952,99328
PE;Agrestina;2600302;-35,945312;-8,456524;508;426,3936
CE;Itatira;2306603;-39,570674;-4,624404;508;919,91424
SP;Itaóca;3522158;-48,839005;-24,617881;508;766,5024
PE;Capoeiras;2603801;-36,599064;-8,687049;505;422,496
BA;Banzaê;2902658;-38,654344;-10,616472;503;582,76736
MG;Juiz de Fora;3136702;-43,464733;-21,745499;503;1004,8064
PI;Ipiranga do Piauí;2204808;-41,791016;-6,818992;501;510,16704
TO;Tocantinópolis;1721208;-47,537584;-6,257151;500;416
AL;Canapi;2701605;-37,528453;-9,125406;500;416
SP;Pedro de Toledo;3537206;-47,163529;-24,163713;500;416
PI;Jacobina do Piauí;2205151;-41,255252;-7,89345;500;1146,2528
MG;Vieiras;3171402;-42,281986;-20,912645;500;698,384
BA;Maraú;2920700;-39,150629;-14,155773;500;416
SP;Embaúba;3514957;-48,847541;-20,952888;499;952,99448
PI;Monsenhor Hipólito;2206506;-41,038018;-6,918468;498;747,1264
SP;Joanópolis;3525508;-46,209181;-22,938809;498;1086,79296
PR;Pontal do Paraná;4119954;-48,475101;-25,636651;496;973,9264
BA;Nordestina;2922656;-39,452043;-10,875065;495;411,84
PE;Arcoverde;2601201;-37,010331;-8,384842;495;457,30368
GO;Rio Quente;5218789;-48,78112;-17,82763;495;1002,7872
AL;São Miguel dos Campos;2708600;-36,097305;-9,767109;494;555,0048
ES;Venda Nova do Imigrante;3205069;-41,14022;-20,370429;494;726,70848
PE;Petrolândia;2611002;-38,307894;-8,89933;493;459,04384
TO;Santa Tereza do Tocantins;1719004;-47,741807;-10,299363;491;1146,4832
MG;Veredinha;3171071;-42,72525;-17,487665;490;759,104
ES;João Neiva;3203130;-40,436886;-19,715377;490;450,12096
BA;Barro Preto;2903300;-39,444728;-14,775862;490;407,68
RN;Florânia;2403806;-36,818746;-6,170399;488;430,24768
BA;Conceição do Coité;2908408;-39,257043;-11,519588;488;534,19072
CE;Pires Ferreira;2310951;-40,58345;-4,259382;487;915,6064
BA;Maiquinique;2920007;-40,269104;-15,674;485;482,4736
MG;Cedro do Abaeté;3115607;-45,698626;-19,120895;485;962,7328
MG;Miradouro;3142106;-42,399671;-20,849528;485;832,7552
SC;São Francisco do Sul;4216206;-48,64027;-26,262071;485;942,656
PI;Pajeú do Piauí;2207355;-42,833512;-7,903969;484;893,04064
BA;Candeal;2906402;-39,191207;-11,871715;483;403,2576
PE;Inajá;2607000;-37,846437;-8,808239;481;625,99488
PI;São João da Serra;2209906;-41,876889;-5,542185;481;988,55104
MG;São Domingos das Dores;3160959;-42,030864;-19,524607;480;947,52
BA;Lajedinho;2919009;-40,971942;-12,384519;480;437,12896
CE;Pacoti;2309805;-38,903552;-4,198146;480;1054,2272
MG;Oratórios;3145851;-42,793743;-20,426446;479;732,2496
AL;Jequiá da Praia;2703759;-36,097163;-9,921493;478;842,61632
BA;Itatim;2916856;-39,735052;-12,711213;477;617,75744
CE;Caririaçu;2303204;-39,270483;-7,020257;476;858,05376
BA;Buritirama;2904753;-43,66763;-10,588126;476;618,4192
BA;Ipupiara;2914109;-42,501842;-11,835874;475;520,0352
MA;Montes Altos;2107001;-47,041394;-5,858126;472;976,71104
BA;Itororó;2917102;-40,007204;-15,048842;471;444,85056
MT;Apiacás;5100805;-57,827159;-8,753688;470;598,4
